Name,Time,n_records,n_observed,n_zero,n_missing,median,median_lower,median_upper,mad_scaled,mad_scaled_min,mad_scaled_max,median_workbook,mad_scaled_workbook,note
fimE,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
hipa,7,3,3,0,0,1.3720930232558142e-05,1.3720930232558142e-05,1.3720930232558142e-05,6.257960526948065e-06,6.257960526948065e-06,6.257960526948065e-06,1.3720930232558142e-05,6.257960526948065e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
rpoz,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
rpoz,1,3,3,0,0,0.0002,0.0002,0.0002,6.9496978992450075e-06,6.9496978992450075e-06,6.9496978992450075e-06,0.0002,6.9496978992450075e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
rpoz,2,3,3,0,0,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-05,7.060010564312393e-06,7.060010564312393e-06,7.060010564312393e-06,6.666666666666667e-05,7.060010564312393e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
rpoz,3,3,3,0,0,1.2000000000000002e-05,1.2000000000000002e-05,1.2000000000000002e-05,3.1968610336527065e-06,3.1968610336527065e-06,3.1968610336527065e-06,1.2000000000000002e-05,3.1968610336527065e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
rpoz,5,3,3,0,0,2.1071428571428572e-06,2.1071428571428572e-06,2.1071428571428572e-06,5.883342136927304e-09,5.883342136927304e-09,5.883342136927304e-09,2.1071428571428572e-06,5.883342136927304e-09,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
rpoz,7,3,3,0,0,1.0222222222222223e-06,1.0222222222222223e-06,1.0222222222222223e-06,6.4716763506197835e-09,6.4716763506197835e-09,6.4716763506197835e-09,1.0222222222222223e-06,6.4716763506197835e-09,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
selb,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
selb,1,3,3,0,0,0.00019523809523809527,0.00019523809523809527,0.00019523809523809527,3.5300052821561967e-06,3.5300052821561967e-06,3.5300052821561967e-06,0.00019523809523809527,3.5300052821561967e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
selb,2,3,3,0,0,1.8333333333333336e-05,1.8333333333333336e-05,1.8333333333333336e-05,1.059001584646857e-06,1.059001584646857e-06,1.059001584646857e-06,1.8333333333333336e-05,1.059001584646857e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
selb,3,3,3,0,0,5.476190476190477e-06,5.476190476190477e-06,5.476190476190477e-06,3.5300052821562066e-07,3.5300052821562066e-07,3.5300052821562066e-07,5.476190476190477e-06,3.5300052821562066e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
selb,5,3,3,0,0,1.58974358974359e-06,1.58974358974359e-06,1.58974358974359e-06,4.3446218857307054e-08,4.3446218857307054e-08,4.3446218857307054e-08,1.58974358974359e-06,4.3446218857307054e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
selb,7,3,3,0,0,6.666666666666668e-07,6.666666666666668e-07,6.666666666666668e-07,1.5206176600057453e-07,1.5206176600057453e-07,1.5206176600057453e-07,6.666666666666668e-07,1.5206176600057453e-07,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
wt,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
wt,1,3,3,0,0,0.000162,0.000162,0.000162,5.436208134520525e-06,5.436208134520525e-06,5.436208134520525e-06,0.000162,5.436208134520525e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
wt,2,3,3,0,0,1.8333333333333336e-05,1.8333333333333336e-05,1.8333333333333336e-05,3.4594051765130716e-06,3.4594051765130716e-06,3.4594051765130716e-06,1.8333333333333336e-05,3.4594051765130716e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
wt,3,3,3,0,0,6.458333333333334e-06,6.458333333333334e-06,6.458333333333334e-06,1.2725669042173083e-06,1.2725669042173083e-06,1.2725669042173083e-06,6.458333333333334e-06,1.2725669042173083e-06,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
wt,5,3,3,0,0,1.4375000000000002e-06,1.4375000000000002e-06,1.4375000000000002e-06,8.524962756407224e-08,8.524962756407224e-08,8.524962756407224e-08,1.4375000000000002e-06,8.524962756407224e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
wt,7,3,3,0,0,4.2000000000000006e-07,4.2000000000000006e-07,4.2000000000000006e-07,6.671709983275208e-08,6.671709983275208e-08,6.671709983275208e-08,4.2000000000000006e-07,6.671709983275208e-08,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
