check,panel,drug,item,passed
finite positive MIC,supp4_atec,Cefepime,ATEC-C-r,True
1000 valid fit draws per culture,supp4_atec,Cefepime,ATEC-C-r,True
expected unique culture IDs,supp6_unt,Levofloxacin,P,True
finite positive IC50,supp6_unt,Levofloxacin,P,True
finite positive MIC,supp6_unt,Levofloxacin,P,True
1000 valid fit draws per culture,supp6_unt,Levofloxacin,P,True
expected unique culture IDs,supp6_unt,Levofloxacin,P-unt,True
finite positive IC50,supp6_unt,Levofloxacin,P-unt,True
finite positive MIC,supp6_unt,Levofloxacin,P-unt,True
1000 valid fit draws per culture,supp6_unt,Levofloxacin,P-unt,True
expected unique culture IDs,supp6_unt,Amikacin,P,True
finite positive IC50,supp6_unt,Amikacin,P,True
finite positive MIC,supp6_unt,Amikacin,P,True
1000 valid fit draws per culture,supp6_unt,Amikacin,P,True
expected unique culture IDs,supp6_unt,Amikacin,P-unt,True
finite positive IC50,supp6_unt,Amikacin,P-unt,True
finite positive MIC,supp6_unt,Amikacin,P-unt,True
1000 valid fit draws per culture,supp6_unt,Amikacin,P-unt,True
expected unique culture IDs,supp6_unt,Cefepime,P,True
finite positive IC50,supp6_unt,Cefepime,P,True
finite positive MIC,supp6_unt,Cefepime,P,True
1000 valid fit draws per culture,supp6_unt,Cefepime,P,True
expected unique culture IDs,supp6_unt,Cefepime,P-unt,True
finite positive IC50,supp6_unt,Cefepime,P-unt,True
finite positive MIC,supp6_unt,Cefepime,P-unt,True
1000 valid fit draws per culture,supp6_unt,Cefepime,P-unt,True
expected unique culture IDs,fig5_mutants,Levofloxacin,MG,True
finite positive IC50,fig5_mutants,Levofloxacin,MG,True
finite positive MIC,fig5_mutants,Levofloxacin,MG,True
expected unique culture IDs,fig5_mutants,Levofloxacin,gata,True
finite positive IC50,fig5_mutants,Levofloxacin,gata,True
finite positive MIC,fig5_mutants,Levofloxacin,gata,True
expected unique culture IDs,fig5_mutants,Levofloxacin,glvc,True
finite positive IC50,fig5_mutants,Levofloxacin,glvc,True
finite positive MIC,fig5_mutants,Levofloxacin,glvc,True
expected unique culture IDs,fig5_mutants,Levofloxacin,hipa,True
finite positive IC50,fig5_mutants,Levofloxacin,hipa,True
finite positive MIC,fig5_mutants,Levofloxacin,hipa,True
expected unique culture IDs,fig5_mutants,Levofloxacin,selb,True
finite positive IC50,fig5_mutants,Levofloxacin,selb,True
finite positive MIC,fig5_mutants,Levofloxacin,selb,True
expected unique culture IDs,fig5_mutants,Levofloxacin,rpoz,True
finite positive IC50,fig5_mutants,Levofloxacin,rpoz,True
finite positive MIC,fig5_mutants,Levofloxacin,rpoz,True
expected unique culture IDs,fig5_mutants,Levofloxacin,ftsh,True
finite positive IC50,fig5_mutants,Levofloxacin,ftsh,True
finite positive MIC,fig5_mutants,Levofloxacin,ftsh,True
expected unique culture IDs,fig5_mutants,Levofloxacin,fime,True
finite positive IC50,fig5_mutants,Levofloxacin,fime,True
finite positive MIC,fig5_mutants,Levofloxacin,fime,True
expected unique culture IDs,fig5_mutants,Amikacin,MG,True
finite positive IC50,fig5_mutants,Amikacin,MG,True
finite positive MIC,fig5_mutants,Amikacin,MG,True
expected unique culture IDs,fig5_mutants,Amikacin,gata,True
finite positive IC50,fig5_mutants,Amikacin,gata,True
finite positive MIC,fig5_mutants,Amikacin,gata,True
expected unique culture IDs,fig5_mutants,Amikacin,glvc,True
finite positive IC50,fig5_mutants,Amikacin,glvc,True
finite positive MIC,fig5_mutants,Amikacin,glvc,True
expected unique culture IDs,fig5_mutants,Amikacin,hipa,True
finite positive IC50,fig5_mutants,Amikacin,hipa,True
finite positive MIC,fig5_mutants,Amikacin,hipa,True
expected unique culture IDs,fig5_mutants,Amikacin,selb,True
finite positive IC50,fig5_mutants,Amikacin,selb,True
finite positive MIC,fig5_mutants,Amikacin,selb,True
expected unique culture IDs,fig5_mutants,Amikacin,rpoz,True
finite positive IC50,fig5_mutants,Amikacin,rpoz,True
finite positive MIC,fig5_mutants,Amikacin,rpoz,True
expected unique culture IDs,fig5_mutants,Amikacin,ftsh,True
finite positive IC50,fig5_mutants,Amikacin,ftsh,True
finite positive MIC,fig5_mutants,Amikacin,ftsh,True
expected unique culture IDs,fig5_mutants,Amikacin,fime,True
finite positive IC50,fig5_mutants,Amikacin,fime,True
finite positive MIC,fig5_mutants,Amikacin,fime,True
expected unique culture IDs,fig5_mutants,Cefepime,MG,True
finite positive IC50,fig5_mutants,Cefepime,MG,True
finite positive MIC,fig5_mutants,Cefepime,MG,True
expected unique culture IDs,fig5_mutants,Cefepime,gata,True
finite positive IC50,fig5_mutants,Cefepime,gata,True
finite positive MIC,fig5_mutants,Cefepime,gata,True
expected unique culture IDs,fig5_mutants,Cefepime,glvc,True
finite positive IC50,fig5_mutants,Cefepime,glvc,True
finite positive MIC,fig5_mutants,Cefepime,glvc,True
expected unique culture IDs,fig5_mutants,Cefepime,hipa,True
finite positive IC50,fig5_mutants,Cefepime,hipa,True
finite positive MIC,fig5_mutants,Cefepime,hipa,True
expected unique culture IDs,fig5_mutants,Cefepime,selb,True
