culture,day,post_CFU_mL,pre_CFU_mL,survival_percent
8,6,2300000.0,209999999.99999997,1.0952380952380953
8,7,2500000.0,249999999.99999997,1.0000000000000002
8,8,5499999.999999999,199999999.99999997,2.75
8,9,8499999.999999998,80000000.0,10.624999999999996
8,10,24999999.999999996,174999999.99999997,14.285714285714285
8,11,9499999.999999998,300000000.0,3.166666666666666
8,12,40000000.0,184999999.99999997,21.621621621621625
8,13,145000000.0,135000000.0,107.4074074074074
8,14,14999999.999999998,200000000.0,7.499999999999999
8,15,550000.0,40000000.0,1.375
8,16,75000000.0,290000000.0,25.862068965517242
8,17,174999999.99999997,209999999.99999997,83.33333333333333
8,18,40000000.0,259999999.99999997,15.384615384615387
8,19,8499999.999999998,11999999.999999998,70.83333333333333
8,20,23499999.999999996,209999999.99999997,11.19047619047619
9,1,305000.0,194999999.99999997,0.15641025641025644
9,2,4500.0,85000000.0,0.005294117647058823
9,3,2150000.0,285000000.0,0.7543859649122807
9,4,33000.0,189999999.99999997,0.01736842105263158
9,5,39000.0,310000000.0,0.012580645161290323
9,6,80000.0,209999999.99999997,0.0380952380952381
9,7,2500000.0,254999999.99999997,0.9803921568627452
9,8,18499999.999999996,179999999.99999997,10.277777777777777
9,9,2999999.9999999995,160000000.0,1.8749999999999996
9,10,2400000.0,124999999.99999999,1.9200000000000002
9,11,550000.0,325000000.0,0.16923076923076924
9,12,3399999.9999999995,234999999.99999997,1.4468085106382977
9,13,1999999.9999999998,214999999.99999997,0.9302325581395349
9,14,5499999.999999999,70000000.0,7.857142857142856
9,15,35000000.0,155000000.0,22.580645161290324
9,16,75000000.0,280000000.0,26.785714285714285
9,17,89999999.99999999,325000000.0,27.692307692307686
9,18,44999999.99999999,194999999.99999997,23.076923076923077
9,19,49999999.99999999,194999999.99999997,25.64102564102564
9,20,85000000.0,170000000.0,50.0
10,1,550000.0,204999999.99999997,0.2682926829268293
10,2,700000.0,335000000.0,0.208955223880597
10,3,26000.0,275000000.0,0.009454545454545455
10,4,399999.99999999994,229999999.99999997,0.17391304347826086
10,5,1649999.9999999998,400000000.0,0.4124999999999999
10,6,1400000.0,219999999.99999997,0.6363636363636365
10,7,255000.0,165000000.0,0.15454545454545454
10,8,1949999.9999999998,204999999.99999997,0.9512195121951219
10,9,8999999.999999998,124999999.99999999,7.199999999999999
10,10,7499999.999999999,179999999.99999997,4.166666666666667
10,11,5499999.999999999,140000000.0,3.928571428571428
10,12,15999999.999999998,204999999.99999997,7.804878048780488
10,13,17499999.999999996,239999999.99999997,7.291666666666665
10,14,104999999.99999999,135000000.0,77.77777777777776
10,15,189999999.99999997,165000000.0,115.15151515151513
10,16,119999999.99999999,174999999.99999997,68.57142857142857
10,17,285000000.0,170000000.0,167.64705882352942
10,18,64999999.99999999,160000000.0,40.62499999999999
10,19,104999999.99999999,145000000.0,72.41379310344826
10,20,80000000.0,150000000.0,53.333333333333336
