Culture,day,after,before,survival_percent,antibiotic
2,1,35000.0,300000000.0,0.011666666666666667,Levofloxacin
2,2,9000.0,174999999.99999997,0.0051428571428571435,Levofloxacin
2,3,21000.0,700000000.0,0.003,Levofloxacin
2,4,4999999.999999999,300000000.0,1.6666666666666663,Levofloxacin
2,5,2499999.9999999995,850000000.0,0.2941176470588235,Levofloxacin
2,6,24999999.999999996,350000000.0,7.1428571428571415,Levofloxacin
2,7,140000000.0,350000000.0,40.0,Levofloxacin
2,8,35000000.0,325000000.0,10.76923076923077,Levofloxacin
2,9,94999999.99999999,500000000.0,18.999999999999996,Levofloxacin
2,10,64999999.99999999,350000000.0,18.57142857142857,Levofloxacin
2,11,49999999.99999999,350000000.0,14.285714285714283,Levofloxacin
2,12,40000000.0,174999999.99999997,22.85714285714286,Levofloxacin
2,13,109999999.99999999,300000000.0,36.66666666666666,Levofloxacin
2,14,94999999.99999999,224999999.99999997,42.22222222222222,Levofloxacin
2,15,194999999.99999997,500000000.0,38.99999999999999,Levofloxacin
2,16,244999999.99999997,250000000.0,97.99999999999999,Levofloxacin
3,1,90000.0,500000000.0,0.018,Levofloxacin
3,2,11500.0,234999999.99999997,0.004893617021276596,Levofloxacin
3,3,17000.0,200000000.0,0.0085,Levofloxacin
3,4,1499999.9999999998,300000000.0,0.4999999999999999,Levofloxacin
3,5,14499999.999999998,275000000.0,5.272727272727272,Levofloxacin
3,6,30499999.999999996,1050000000.0,2.904761904761904,Levofloxacin
3,7,80000000.0,700000000.0,11.428571428571429,Levofloxacin
3,8,49999999.99999999,219999999.99999997,22.727272727272727,Levofloxacin
3,9,104999999.99999999,400000000.0,26.249999999999996,Levofloxacin
3,10,54999999.99999999,550000000.0,9.999999999999998,Levofloxacin
3,11,49999999.99999999,550000000.0,9.09090909090909,Levofloxacin
3,12,25499999.999999996,124999999.99999999,20.4,Levofloxacin
3,13,145000000.0,450000000.0,32.22222222222222,Levofloxacin
3,14,170000000.0,219999999.99999997,77.27272727272728,Levofloxacin
3,15,400000000.0,300000000.0,133.33333333333334,Levofloxacin
3,16,650000000.0,600000000.0,108.33333333333333,Levofloxacin
4,1,115000.0,400000000.0,0.02875,Levofloxacin
4,2,13000.0,174999999.99999997,0.00742857142857143,Levofloxacin
4,3,60000.0,250000000.0,0.024,Levofloxacin
4,4,2100000.0,150000000.0,1.4,Levofloxacin
4,5,22499999.999999996,270000000.0,8.333333333333332,Levofloxacin
4,6,85000000.0,1350000000.0,6.296296296296297,Levofloxacin
4,7,75000000.0,300000000.0,25.0,Levofloxacin
4,8,109999999.99999999,550000000.0,19.999999999999996,Levofloxacin
4,9,170000000.0,900000000.0,18.88888888888889,Levofloxacin
4,10,59999999.99999999,550000000.0,10.909090909090907,Levofloxacin
4,11,94999999.99999999,350000000.0,27.14285714285714,Levofloxacin
4,12,40000000.0,140000000.0,28.571428571428573,Levofloxacin
4,13,270000000.0,600000000.0,45.0,Levofloxacin
4,14,224999999.99999997,250000000.0,89.99999999999999,Levofloxacin
4,15,550000000.0,350000000.0,157.14285714285714,Levofloxacin
4,16,850000000.0,500000000.0,170.0,Levofloxacin
5,1,45000.0,369999999.99999994,0.012162162162162165,Levofloxacin
5,2,11000.0,254999999.99999997,0.004313725490196079,Levofloxacin
5,3,30000.0,350000000.0,0.008571428571428572,Levofloxacin
5,4,175000.0,300000000.0,0.058333333333333334,Levofloxacin
5,5,4499999.999999999,214999999.99999997,2.093023255813953,Levofloxacin
5,6,124999999.99999999,850000000.0,14.705882352941174,Levofloxacin
5,7,114999999.99999999,700000000.0,16.428571428571427,Levofloxacin
5,8,179999999.99999997,400000000.0,44.99999999999999,Levofloxacin
5,9,280000000.0,950000000.0,29.473684210526315,Levofloxacin
5,10,85000000.0,450000000.0,18.88888888888889,Levofloxacin
5,11,109999999.99999999,700000000.0,15.714285714285712,Levofloxacin
5,12,35000000.0,209999999.99999997,16.666666666666668,Levofloxacin
5,13,99999999.99999999,800000000.0,12.499999999999998,Levofloxacin
5,14,40000000.0,275000000.0,14.545454545454545,Levofloxacin
5,15,160000000.0,500000000.0,32.0,Levofloxacin
5,16,219999999.99999997,500000000.0,43.99999999999999,Levofloxacin
6,1,140000.0,194999999.99999997,0.0717948717948718,Levofloxacin
6,2,20000.0,254999999.99999997,0.007843137254901962,Levofloxacin
6,3,40000.0,250000000.0,0.016,Levofloxacin
6,4,8499999.999999998,150000000.0,5.666666666666665,Levofloxacin
