Panel,also_shown_in,value,Antibiotic,contrast_id,Group1,Group2,n1,n2,n_pairs,geomean1,geomean2,ratio,ratio_lo,ratio_hi,test,interval_method,t,df,r_pairs,p,p_other_test,other_test,other_test_ids,p_raw_scale,p_exact,exact_test,fit_range_lo,fit_range_hi,fit_range_method,fit_resamples,fit_seed,p_excl_lineages_238,ratio_excl_lineages_238,p_holm,p_bh,p_bonferroni,p_holm_figure,p_holm_excl_238,k,p_other_test_holm,p_raw_scale_holm,p_exact_holm,sensitivity_family,significant
Figure 3b-d,Supplementary Figure 7,IC50,Levofloxacin,LEV:P-vs-PLAC,P,PLAC,10,10,10.0,0.03575255946166259,0.6198292152346802,17.336638958654753,10.660329272512937,28.19416199063573,"paired t on log10, aligned on culture",paired log-ratio t interval,13.270876741445688,9.0,-0.07741674554635655,3.2523329577052284e-07,2.2971859655262276e-08,Welch,,0.0028733149567086703,0.001953125,sign-flip,12.082664292035185,27.536954588216258,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,2.5947479323647185e-06,13.40916058920721,1.3009331830820914e-06,6.504665915410457e-07,1.951399774623137e-06,4.553266140787319e-06,1.0378991729458874e-05,6.0,9.18874386210491e-08,0.011493259826834681,0.01171875,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Levofloxacin,LEV:P-vs-PLAC,P,PLAC,10,10,10.0,0.1038117356856237,2.5014355555461902,24.09588414089679,11.803575323358594,49.18947154787283,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Levofloxacin,LEV:PL-vs-PLA,PL,PLA,10,10,10.0,1.2912166708199548,0.5448327788598856,0.42195302397536677,0.29445484061291577,0.6046575905200006,"paired t on log10, aligned on culture",paired log-ratio t interval,-5.425513086609374,9.0,0.2535514509216373,0.0004188150462841625,0.00019398739223635948,Welch,,0.005096774314126501,0.00390625,sign-flip,0.31912877946104434,0.5769686659791191,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,0.00040511466448774487,0.3655770021565786,0.0012564451388524874,0.0006282225694262438,0.0025128902777049747,0.004606965509125788,0.0012153439934632347,6.0,0.0005819621767090785,0.015290322942379503,0.01171875,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Levofloxacin,LEV:PL-vs-PLA,PL,PLA,10,10,10.0,9.08071560918727,0.9313668061039089,0.10256535345756375,0.05119215065254284,0.20549345155031987,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Levofloxacin,LEV:PL-vs-PLAC,PL,PLAC,10,10,10.0,1.2912166708199548,0.6198292152346802,0.4800350159985722,0.29679804980447627,0.7763986883894749,"paired t on log10, aligned on culture",paired log-ratio t interval,-3.4529202489203557,9.0,0.1608108978571442,0.007241255459417303,0.006120838698632655,Welch,,0.027913837918148242,0.009765625,sign-flip,0.3223298521972866,0.7202957442877141,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,0.0017029250834999213,0.3547777759312626,0.014482510918834606,0.008689506551300763,0.043447532756503815,0.04385385840083654,0.0034058501669998425,6.0,0.01224167739726531,0.055827675836296484,0.01953125,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Levofloxacin,LEV:PL-vs-PLAC,PL,PLAC,10,10,10.0,9.08071560918727,2.5014355555461902,0.2754667873328619,0.10093359082317523,0.7518007662724016,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Levofloxacin,LEV:PLA-vs-PLAC,PLA,PLAC,10,10,10.0,0.5448327788598856,0.6198292152346802,1.1376503750962481,0.8242016427104694,1.5703055040030847,"paired t on log10, aligned on culture",paired log-ratio t interval,0.9051647372628981,9.0,0.6920004505104707,0.38896643591759306,0.6023022229387562,Welch,,0.28844843224746025,0.443359375,sign-flip,0.8815762453708713,1.5140922619493231,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,0.8040331009042108,0.9704597768415132,0.38896643591759306,0.38896643591759306,1.0,1.0,0.8040331009042108,6.0,0.6023022229387562,0.28844843224746025,0.443359375,same panel and antibiotic as primary,False
Figure 3b-d,Supplementary Figure 7,MIC,Levofloxacin,LEV:PLA-vs-PLAC,PLA,PLAC,10,10,10.0,0.9313668061039089,2.5014355555461902,2.68576842029639,1.375048399091804,5.245889535397926,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Amikacin,AMI:P-vs-PL,P,PL,10,10,10.0,2.988148518197365,2.988545611188182,1.0001328893086805,0.7437785679342419,1.344843531933235,"paired t on log10, aligned on culture",paired log-ratio t interval,0.0010150322961826929,9.0,0.08392030203010735,0.9992122642211936,0.9992346978672255,Welch,,0.8299595038294432,1.0,sign-flip,0.7728874831471556,1.3076003063096822,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,0.8097318604116143,1.036206867334822,0.9992122642211936,0.9992122642211936,1.0,1.0,0.8097318604116143,6.0,0.9992346978672255,0.8299595038294432,1.0,same panel and antibiotic as primary,False
Figure 3b-d,Supplementary Figure 7,MIC,Amikacin,AMI:P-vs-PL,P,PL,10,10,10.0,42.39528381723561,18.464675468349583,0.4355360739640302,0.22988792523527285,0.8251484784590846,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3b-d,Supplementary Figure 7,IC50,Amikacin,AMI:P-vs-PLA,P,PLA,10,10,10.0,2.988148518197365,25.181628059639174,8.427167493947147,6.625150075345227,10.719327285176837,"paired t on log10, aligned on culture",paired log-ratio t interval,20.041337771062945,9.0,0.26948649800688856,8.915664414779588e-09,2.511750226268815e-12,Welch,,4.8608544177787405e-06,0.001953125,sign-flip,6.7266475777122965,10.474344073688943,culture resampling and fit perturbation; empirical 2.5-97.5 percentiles,4000.0,20260915.0,3.981209214711485e-06,8.28467643790998,5.3493986488677525e-08,5.3493986488677525e-08,5.3493986488677525e-08,1.51566295051253e-07,2.3887255288268908e-05,6.0,1.507050135761289e-11,2.4304272088893703e-05,0.01171875,same panel and antibiotic as primary,True
Figure 3b-d,Supplementary Figure 7,MIC,Amikacin,AMI:P-vs-PLA,P,PLA,10,10,10.0,42.39528381723561,160.07504671310184,3.775774857486014,2.2725303661696077,6.273392860511292,descriptive,paired log-ratio t interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
