Panel,Antibiotic,Group,value,cultures,values,n,geomean,lo,hi,min,max
Figure 2b-d,Amikacin,PA,IC50,"1,2,3,4,5,6,7,8,9,10",28.42641146008283;27.381910006069592;31.88495518789734;27.1815430097282;52.77797483532102;74.22648767920991;51.05820419828167;41.94158605588169;26.32085132598235;27.436938867570547,10,36.403264398687924,28.003247454382375,47.322999271407454,26.320851325982357,74.2264876792099
Figure 2b-d,Amikacin,PA,MIC,"1,2,3,4,5,6,7,8,9,10",695.2657879010369;452.4027788935952;884.5049308397129;259.2547849030515;192.99152063708019;117.65668927387347;189.53751634238293;232.6434241414412;78.87156489040086;147.70964271295367,10,246.88649187118318,142.44960774615592,427.89124401856867,78.87156489040085,884.5049308397125
Figure 2b-d,Amikacin,PC,IC50,"1,2,3,4,5,6,7,8,9,10",2.7323929429653484;2.992201322299042;3.126327407968998;3.640022719300203;4.3059085413475;2.8549888500756953;2.608472597192894;2.343923298040108;4.210392041545271;5.097102660112946,10,3.2933033253798296,2.7506452099231753,3.9430191701316377,2.343923298040108,5.097102660112946
Figure 2b-d,Amikacin,PC,MIC,"1,2,3,4,5,6,7,8,9,10",30.534660571266887;25.76784446056371;47.45759656069047;46.79452941812258;20.136472273137272;18.475747449732566;30.282961132678594;14.717764612979801;50.469013627197135;35.369026920775994,10,29.604965119153363,21.83792179302675,40.13449484859658,14.717764612979801,50.469013627197135
Figure 2b-d,Amikacin,PL,IC50,"1,2,3,4,5,6,7,8,9,10",2.2771916279156525;5.801776731063872;2.3089195341759243;3.251995655954399;2.3231349414532674;2.270049085626627;4.758441719809861;2.0700224242491054;3.012459200174423;3.661077106077072,10,2.988545611188182,2.3222195829807397,3.846063884573753,2.0700224242491054,5.801776731063873
Figure 2b-d,Amikacin,PL,MIC,"1,2,3,4,5,6,7,8,9,10",10.092173794926465;19.77662666052216;18.95852064190424;28.401149196712165;18.318917014092648;4.107280875149;73.9565535850617;17.421044132749657;20.254625405415148;21.83284016720712,10,18.464675468349583,10.96263927966318,31.100561776574864,4.107280875149,73.95655358506168
Figure 2b-d,Cefepime,P,IC50,"1,2,3,4,5,6,7,8,9,10",0.038326503495386084;0.03769818783462549;0.02806047660761293;0.03381407040760437;0.04303544639928328;0.035611559644781514;0.04003177222717989;0.046615563090480185;0.049389032340961606;0.034044348881338386,10,0.03818599205397341,0.03389063452640419,0.043025750609952756,0.028060476607612923,0.04938903234096161
Figure 2b-d,Cefepime,P,MIC,"1,2,3,4,5,6,7,8,9,10",0.16894828525728908;0.31442615598493306;0.15922005026167838;0.3402523743994889;0.22556117264683728;0.09660866489543081;0.06297940786573564;0.22462497949520535;0.13461773366213906;0.05586367778214366,10,0.1522032837085734,0.0974424497189059,0.23773868204770532,0.055863677782143656,0.3402523743994889
Figure 2b-d,Cefepime,PA,IC50,"1,2,3,4,5,6,7,8,9,10",0.02731028021389431;0.04032160211936248;0.04353469356553015;0.02119994567474019;0.02445207028196175;0.024174156644885293;0.03021096027059328;0.03418043827246335;0.033971710253505344;0.02962058440112561,10,0.030167229928766772,0.02558984005918748,0.03556340170435507,0.02119994567474019,0.04353469356553014
Figure 2b-d,Cefepime,PA,MIC,"1,2,3,4,5,6,7,8,9,10",0.05583602736435903;0.1295436874423724;0.11127862050843979;0.0581638665428073;0.05803561003480012;0.046765895433903845;0.07232444105469793;0.06546100024628619;0.10996142628153775;0.06336779691649314,10,0.07281814767311481,0.05682984981664932,0.09330453357964179,0.04676589543390384,0.1295436874423724
