Name,Time,n_records,n_observed,n_zero,n_missing,median,median_lower,median_upper,mad_scaled,mad_scaled_min,mad_scaled_max,median_workbook,mad_scaled_workbook,note
P1,0,6,6,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC4,3,3,3,0,0,0.1107142857142857,0.1107142857142857,0.1107142857142857,0.09679274483672289,0.09679274483672289,0.09679274483672289,0.1107142857142857,0.09679274483672289,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC4,5,3,3,0,0,0.07631578947368421,0.07631578947368421,0.07631578947368421,0.01783581616247344,0.01783581616247344,0.01783581616247344,0.07631578947368421,0.01783581616247344,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC4,7,3,3,0,0,0.010714285714285714,0.010714285714285714,0.010714285714285714,0.0019062028523643482,0.0019062028523643482,0.0019062028523643482,0.010714285714285714,0.0019062028523643482,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC5,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC5,1,3,3,0,0,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.01059001584646859,0.01059001584646859,0.01059001584646859,0.11428571428571428,0.01059001584646859,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC5,2,3,3,0,0,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.004236006338587434,0.004236006338587434,0.004236006338587434,0.04285714285714286,0.004236006338587434,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC5,3,3,3,0,0,0.01,0.01,0.01,0.0008472012677174872,0.0008472012677174872,0.0008472012677174872,0.01,0.0008472012677174872,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC5,5,3,3,0,0,0.004000000000000001,0.004000000000000001,0.004000000000000001,0.0008472012677174859,0.0008472012677174859,0.0008472012677174859,0.004000000000000001,0.0008472012677174859,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC5,7,3,3,0,0,0.002114285714285715,0.002114285714285715,0.002114285714285715,0.00041654062329443155,0.00041654062329443155,0.00041654062329443155,0.002114285714285715,0.00041654062329443155,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
PC6,0,3,3,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Zero-colony records retained as below detection; median checked over censoring endpoints; MAD normal-scaled
