Panel,value,Antibiotic,Strain,replicates,values,n_technical,geomean,min,max,ratio_vs_MG,ratio_min,ratio_max
Figure 5b-d / Supplementary Figure 10a-c,IC50,Amikacin,glvC,"three technical dose-response series, one overnight culture",3.2936338793700415;4.473259425022631;3.757402294936288,3,3.8112055106178335,3.293633879370042,4.473259425022631,1.0692621686590094,0.9240535822097627,1.255006338663345
Figure 5b-d / Supplementary Figure 10a-c,IC50,Amikacin,hipA,"three technical dose-response series, one overnight culture",2.7974475816547995;2.8218792533027663;2.927798169324257,3,2.8484843627375755,2.7974475816547995,2.927798169324257,0.799163560875075,0.7848448107919556,0.8214156416403885
Figure 5b-d / Supplementary Figure 10a-c,IC50,Amikacin,selB,"three technical dose-response series, one overnight culture",12.900036159417498;13.29738991895091;10.666477695910066,3,12.230929240376833,10.666477695910064,13.297389918950909,3.4314785408043083,2.9925599764450497,3.7306820486667895
Figure 5b-d / Supplementary Figure 10a-c,IC50,Amikacin,rpoZ,"three technical dose-response series, one overnight culture",2.318330253353974;2.1441496215774514;3.174639706348432,3,2.508273816992866,2.1441496215774514,3.1746397063484326,0.7037149515229432,0.6015571891649678,0.8906688783021938
Figure 5b-d / Supplementary Figure 10a-c,IC50,Amikacin,ftsH,"three technical dose-response series, one overnight culture",1.9028474705263554;2.0331141303377915;1.2299658116773358,3,1.6819752152940057,1.2299658116773358,2.0331141303377915,0.47189070789426485,0.3450760940354925,0.5704053528679557
Figure 5b-d / Supplementary Figure 10a-c,IC50,Amikacin,fimE,"three technical dose-response series, one overnight culture",3.6913421182955326;2.3122477198794478;3.582564915136116,3,3.1270698007978264,2.3122477198794478,3.6913421182955326,0.8773227860407719,0.6487183660254384,1.035633598785171
Figure 5b-d / Supplementary Figure 10a-c,IC50,Cefepime,MG,"three technical dose-response series, one overnight culture",0.029671570870631353;0.04639227590422553;0.02816058977072449,3,0.03384355593452377,0.028160589770724494,0.04639227590422553,1.0,0.8320812926752154,1.3707860957039928
Figure 5b-d / Supplementary Figure 10a-c,IC50,Cefepime,gatA,"three technical dose-response series, one overnight culture",0.03163826181265351;0.03949195197500608;0.028290718322228802,3,0.03281872691577126,0.028290718322228795,0.03949195197500608,0.969718636518715,0.8359262950075961,1.166897238913373
Figure 5b-d / Supplementary Figure 10a-c,IC50,Cefepime,glvC,"three technical dose-response series, one overnight culture",0.03417446573877477;0.039012201642130186;0.03660332951094171,3,0.03654328585946905,0.03417446573877477,0.03901220164213018,1.0797708707137152,1.0097776310766873,1.1527217091964583
Figure 5b-d / Supplementary Figure 10a-c,IC50,Cefepime,hipA,"three technical dose-response series, one overnight culture",0.0277291630059231;0.027008082433817852;0.031921484290685996,3,0.028807430940779952,0.027008082433817856,0.03192148429068599,0.851193976085519,0.7980273256767013,0.9432071603954277
Figure 5b-d / Supplementary Figure 10a-c,IC50,Cefepime,selB,"three technical dose-response series, one overnight culture",0.03779474022697576;0.03489792718823066;0.03854538338710148,3,0.037045414249421704,0.034897927188230655,0.03854538338710148,1.094607621051774,1.0311542692424742,1.1389282929274398
Figure 5b-d / Supplementary Figure 10a-c,IC50,Cefepime,rpoZ,"three technical dose-response series, one overnight culture",0.024161620129937684;0.03156519852768225;0.029382148877106985,3,0.028192875751919654,0.024161620129937677,0.03156519852768224,0.8330352698890053,0.7139208473448394,0.9326797275307179
Figure 5b-d / Supplementary Figure 10a-c,IC50,Cefepime,ftsH,"three technical dose-response series, one overnight culture",0.04571374752759935;0.04202466600761941;0.037886160465819996,3,0.04175199483381078,0.03788616046582,0.04571374752759936,1.2336763581990988,1.1194497569675408,1.350737127506357
Figure 5b-d / Supplementary Figure 10a-c,IC50,Cefepime,fimE,"three technical dose-response series, one overnight culture",0.028346326177501047;0.02881297667083605;0.02985851067939838,3,0.028999088663421758,0.028346326177501043,0.029858510679398376,0.8568570252938411,0.8375693804853701,0.8822509885534737
