Name,Time,n_records,n_observed,n_missing,median,mad_scaled,median_workbook,mad_scaled_workbook,note
PLAC10,2,3,3,0,0.00036923076923076927,1.6923002990386432e-05,0.00036923076923076927,1.6923002990386432e-05,Observed-only summary is conditional where counts are missing
PLAC10,3,3,3,0,0.0016774193548387097,0.0005352819424133135,0.0016774193548387097,0.0005352819424133135,Observed-only summary is conditional where counts are missing
PLAC10,5,3,3,0,9.032258064516129e-05,2.005007962991449e-05,9.032258064516129e-05,2.005007962991449e-05,Observed-only summary is conditional where counts are missing
PLAC10,7,3,3,0,3.4230769230769234e-05,9.013338549227593e-07,3.4230769230769234e-05,9.013338549227593e-07,Observed-only summary is conditional where counts are missing
PLAC2,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
PLAC2,1,3,3,0,0.1596153846153846,0.012608454764214329,0.1596153846153846,0.012608454764214329,Observed-only summary is conditional where counts are missing
PLAC2,2,3,3,0,0.055769230769230765,0.003611466942513645,0.055769230769230765,0.003611466942513645,Observed-only summary is conditional where counts are missing
PLAC2,3,3,3,0,0.013333333333333332,0.00038015441500143605,0.013333333333333332,0.00038015441500143605,Observed-only summary is conditional where counts are missing
PLAC2,5,3,3,0,0.004615384615384616,0.00038942647390390983,0.004615384615384616,0.00038942647390390983,Observed-only summary is conditional where counts are missing
PLAC2,7,3,3,0,0.0002307692307692308,2.2555828623418548e-05,0.0002307692307692308,2.2555828623418548e-05,Observed-only summary is conditional where counts are missing
PLAC3,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
PLAC3,1,3,3,0,0.049999999999999996,0.004360594760310599,0.049999999999999996,0.004360594760310599,Observed-only summary is conditional where counts are missing
PLAC3,2,3,3,0,0.007777777777777779,0.0023741015917246597,0.007777777777777779,0.0023741015917246597,Observed-only summary is conditional where counts are missing
PLAC3,3,3,3,0,0.0022500000000000003,0.00028343865942018876,0.0022500000000000003,0.00028343865942018876,Observed-only summary is conditional where counts are missing
PLAC3,5,3,3,0,0.0002375,4.687639367333887e-05,0.0002375,4.687639367333887e-05,Observed-only summary is conditional where counts are missing
PLAC3,7,3,3,0,0.00010588235294117647,2.371073400918884e-05,0.00010588235294117647,2.371073400918884e-05,Observed-only summary is conditional where counts are missing
PLAC4,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
PLAC4,1,3,3,0,0.0012777777777777779,0.00021906061148132448,0.0012777777777777779,0.00021906061148132448,Observed-only summary is conditional where counts are missing
PLAC4,2,3,3,0,0.0004468085106382979,3.218849801358259e-06,0.0004468085106382979,3.218849801358259e-06,Observed-only summary is conditional where counts are missing
PLAC4,3,3,3,0,0.00015319148936170215,8.996089111499694e-06,0.00015319148936170215,8.996089111499694e-06,Observed-only summary is conditional where counts are missing
PLAC4,5,3,3,0,7.962962962962964e-05,1.5072562236508204e-05,7.962962962962964e-05,1.5072562236508204e-05,Observed-only summary is conditional where counts are missing
PLAC4,7,3,3,0,2e-05,3.4699200858641777e-06,2e-05,3.4699200858641777e-06,Observed-only summary is conditional where counts are missing
PLAC5,0,3,3,0,1.0,0.0,1.0,0.0,Observed-only summary is conditional where counts are missing
PLAC5,1,3,3,0,0.1391304347826087,0.00966914490329739,0.1391304347826087,0.00966914490329739,Observed-only summary is conditional where counts are missing
PLAC5,2,3,3,0,0.09787234042553192,6.857549576808468e-05,0.09787234042553192,6.857549576808468e-05,Observed-only summary is conditional where counts are missing
PLAC5,3,3,3,0,0.0425531914893617,0.0013715099153613337,0.0425531914893617,0.0013715099153613337,Observed-only summary is conditional where counts are missing
PLAC5,5,3,3,0,0.01170212765957447,0.003277908697713587,0.01170212765957447,0.003277908697713587,Observed-only summary is conditional where counts are missing
