"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00054025780575084,-0.350328303134367,0.017,0.025,1,"6","rpsF-5"
0.000547986990682582,-0.264229194909481,0.008,0.014,1,"6","dmsD-1"
0.000554235795976762,-0.287232487503587,0.011,0.018,1,"6","smtA-4"
0.000568358461033177,-0.431440042329776,0.013,0.02,1,"6","ydhR-5"
0.000574293134160136,-0.121970754658135,0.134,0.155,1,"6","rpsI-1"
0.000591374426912161,-0.107189733522434,0.031,0.042,1,"6","ppiD-4"
0.000673632336048652,-0.22422606664556,0.073,0.088,1,"6","rpsN-3"
0.000729330542954949,0.846434070861119,0.019,0.013,1,"6","yjeP-4"
0.000745515820505767,-0.126374776331498,0.045,0.057,1,"6","cfa-5"
0.000810316973573631,-0.421660951836843,0.008,0.014,1,"6","ppx-3"
0.000816847669964474,-0.45670214669473,0.007,0.013,1,"6","yohC-6"
0.000960541733545177,-0.478941917540488,0.011,0.017,1,"6","relE-5"
0.000970745323696395,-0.26950561152585,0.02,0.029,1,"6","pepN-1"
0.0010077518885362,-0.435887356277164,0.007,0.012,1,"6","glcC-5"
0.0010468818740776,-0.358876310360094,0.026,0.035,1,"6","secD-3"
0.00105422610744375,-0.246152712902688,0.024,0.033,1,"6","dfp-4"
0.00108138684488455,-0.390169334588784,0.009,0.015,1,"6","yedQ-3"
0.0011198478998122,-0.169965565465244,0.054,0.067,1,"6","rpmG-2"
0.00112070394083811,-0.526844140329176,0.012,0.018,1,"6","yrfF-4"
0.00115944076155667,-0.209564887936525,0.021,0.029,1,"6","crl-3"
0.00119101716584339,-0.41704252568023,0.013,0.02,1,"6","evgA-4"
0.00124699064215354,-0.376634129414301,0.008,0.014,1,"6","folK-3"
0.00126684507594818,-0.328527381516148,0.011,0.018,1,"6","yciX-3"
0.00129462524581336,-0.354036709910106,0.009,0.015,1,"6","ftsI-2"
0.0013538329060683,-0.371287060148678,0.013,0.02,1,"6","puuR-5"
0.00138598019428705,0.902819788217662,0.013,0.009,1,"6","ybeF-4"
0.00146833708201512,-0.125054231887979,0.048,0.06,1,"6","yhaO-1"
0.00150177954252434,-0.158688496950325,0.098,0.115,1,"6","rplX-1"
0.0015664529082563,-0.112525318531544,0.058,0.07,1,"6","ychA-4"
0.00167558422288478,-0.322807233061766,0.011,0.018,1,"6","yejK-5"
0.00175799512470538,-0.171099559554579,0.03,0.04,1,"6","exuR-5"
0.0018175507898646,-0.287736385588901,0.013,0.02,1,"6","hspQ-4"
0.00183304634363648,-0.156848152514685,0.018,0.026,1,"6","parE-4"
0.00197359342193178,-0.359040166127431,0.006,0.011,1,"6","yebF-3"
0.00197668983472936,-0.110598341185311,0.03,0.04,1,"6","yciM-2"
0.00207930050696423,-0.578468476055102,0.015,0.021,1,"6","mltD-1"
0.00208381784994955,-0.336056220615615,0.015,0.022,1,"6","puuB-5"
0.00208975284794802,-0.151874719866636,0.053,0.065,1,"6","asnS-4"
0.00213711947576913,-0.184453000299517,0.013,0.019,1,"6","kbl-2"
0.00216504592570925,-0.575952150014907,0.01,0.016,1,"6","mltC-3"
0.00240509073843453,-0.129385091747159,0.037,0.047,1,"6","icd-4"
0.00246619600533485,-0.505842937362979,0.006,0.011,1,"6","yjgF-1"
0.00251956762259416,-0.273075781634758,0.021,0.029,1,"6","rcsD-1"
0.00256544645885674,-0.411418974314314,0.007,0.012,1,"6","recO-3"
0.00268831830317137,-0.641955986317391,0.005,0.01,1,"6","yfcY-1"
0.00299003806070508,-0.670527053162562,0.006,0.01,1,"6","ygfZ-3"
0.00301392629827478,-0.409615930106294,0.006,0.011,1,"6","yfiE-1"
0.00304302698306592,-0.140503833789796,0.057,0.069,1,"6","ffh-5"
0.00307033621483595,-0.396821109452383,0.023,0.031,1,"6","rluB-4"
0.00308073847949392,-0.174864093031834,0.029,0.038,1,"6","sufD-2"
0.00308127664426145,-0.315228280091183,0.024,0.031,1,"6","yfjN-5"
0.00318648629447206,-0.301442427085129,0.011,0.017,1,"6","yojI-6"
0.00324318531214828,-0.324569610802184,0.016,0.022,1,"6","mipA-1"
0.00325694196307997,-0.248145935304202,0.018,0.025,1,"6","yjeS-3"
0.0034293448229017,-0.445964031769392,0.008,0.013,1,"6","rhtC-5"
0.00347426036278031,-0.286443902606813,0.01,0.015,1,"6","rbsK-3"
0.00350755632187927,-0.111529206002603,0.141,0.16,1,"6","infB-3"
0.00355177731604774,-0.107290158395112,0.025,0.033,1,"6","fldA-4"
0.00363593392667621,-0.176436663959883,0.011,0.016,1,"6","yhaK-1"
0.00370549352037561,-0.184464420484472,0.026,0.034,1,"6","ybaJ-2"
0.00374519150743274,-0.361830257321735,0.005,0.01,1,"6","mnmA-5"
0.0038484405632858,-0.169399116859537,0.017,0.024,1,"6","dinJ-5"
0.00408894246817292,-0.397132788838483,0.009,0.014,1,"6","pphA-5"
0.00416482005269437,-0.339616285192691,0.009,0.014,1,"6","ynhG-2"
0.00420209348489455,-0.5762634135729,0.006,0.011,1,"6","rplU-2"
0.00442261653839592,-0.145812127381704,0.012,0.018,1,"6","yeeX-4"
0.00445296829769779,-0.225735062025729,0.021,0.028,1,"6","greA-4"
0.00453052768113645,-0.195899667669491,0.019,0.026,1,"6","galS-2"
0.00465150051084308,-0.138295105373998,0.023,0.03,1,"6","gshA-4"
0.00465575513997023,-0.328937999271121,0.009,0.014,1,"6","fruA-4"
0.00473177420190161,-0.150799308794603,0.023,0.03,1,"6","rcsB-4"
