"Feature","Gene","Probe","Summed_Counts"
"glvC-14","glvC","14",63
"glvG-2","glvG","2",46
"glxK-3","glxK","3",83
"glxR-2","glxR","2",10
"glyA-5","glyA","5",990
"glyQ-1","glyQ","1",0
"glyS-3","glyS","3",434
"gmd-1","gmd","1",49
"gmhB-5","gmhB","5",428
"gmk-3","gmk","3",2635
"gmr-3","gmr","3",226
"gnd-1","gnd","1",1519
"gnsA-5","gnsA","5",310
"gnsB-5","gnsB","5",39
"gntK-1","gntK","1",811
"gntP-3","gntP","3",64
"gntR-5","gntR","5",1156
"gntT-4","gntT","4",726
"gntU-4","gntU","4",796
"gntX-2","gntX","2",100
"gntY-3","gntY","3",83
"gor-5","gor","5",1572
"gph-3","gph","3",300
"gpmA-2","gpmA","2",2223
"gpmI-2","gpmI","2",1118
"gpp-1","gpp","1",872
"gpsA-1","gpsA","1",501
"greA-4","greA","4",1400
"greB-1","greB","1",71
"groL-5","groL","5",11461
"groS-4","groS","4",1347
"grpE-4","grpE","4",1360
"grxA-4","grxA","4",1767
"grxB-5","grxB","5",1047
"grxC-3","grxC","3",9
"grxD-2","grxD","2",1148
"gshA-4","gshA","4",1518
"gshB-5","gshB","5",930
"gsk-2","gsk","2",1382
"gspA-4","gspA","4",40
"gspC-2","gspC","2",49
"gspD-3","gspD","3",117
"gspE-2","gspE","2",69
"gspF-1","gspF","1",27
"gspG-1","gspG","1",26
"gspH-5","gspH","5",24
"gspI-3","gspI","3",33
"gspJ-3","gspJ","3",56
"gspK-2","gspK","2",74
"gspL-1","gspL","1",84
"gspM-1","gspM","1",78
"gspO-1","gspO","1",89
"gss-1","gss","1",1203
"gst-1","gst","1",4
"guaA-5","guaA","5",2024
"guaB-2","guaB","2",15301
"guaC-1","guaC","1",1280
"guaD-3","guaD","3",50
"gudD-5","gudD","5",69
"gudP-5","gudP","5",41
"gudX-2","gudX","2",66
"gutM-4","gutM","4",34
"gutQ-1","gutQ","1",7
"gyrA-4","gyrA","4",3567
"gyrB-3","gyrB","3",2900
"hcaB-2","hcaB","2",7
"hcaC-1","hcaC","1",157
"hcaD-4","hcaD","4",37
"hcaE-3","hcaE","3",44
"hcaF-2","hcaF","2",315
"hcaR-1","hcaR","1",118
"hcaT-1","hcaT","1",336
"hchA-3","hchA","3",256
"hcp-5","hcp","5",32
"hcr-3","hcr","3",1
"hda-2","hda","2",384
"hdeA-1","hdeA","1",214
"hdeB-5","hdeB","5",33
"hdeD-1","hdeD","1",17
"hdfR-2","hdfR","2",338
"hdhA-4","hdhA","4",373
"helD-1","helD","1",534
"hemA-1","hemA","1",0
"hemB-5","hemB","5",2019
"hemC-4","hemC","4",932
"hemD-1","hemD","1",3
"hemE-1","hemE","1",1
"hemF-4","hemF","4",541
"hemG-3","hemG","3",485
"hemH-3","hemH","3",2231
"hemL-1","hemL","1",167
"hemN-4","hemN","4",48
"hemX-4","hemX","4",702
"hemY-4","hemY","4",690
"hepA-1","hepA","1",1656
"hflC-2","hflC","2",8
"hflD-1","hflD","1",0
"hflK-1","hflK","1",0
"hflX-2","hflX","2",2981
"hfq-4","hfq","4",3377
"hha-2","hha","2",308
"hinT-4","hinT","4",252
"hipA-3","hipA","3",270
"hipB-3","hipB","3",139
"hisA-1","hisA","1",0
"hisB-2","hisB","2",199
"hisC-3","hisC","3",72
"hisD-4","hisD","4",7
"hisF-1","hisF","1",29
"hisG-2","hisG","2",8
"hisH-1","hisH","1",2
"hisI-2","hisI","2",73
"hisJ-2","hisJ","2",747
"hisL-1","hisL","1",0
"hisM-2","hisM","2",316
"hisP-1","hisP","1",0
"hisQ-2","hisQ","2",221
"hisS-3","hisS","3",97
"hlpA-1","hlpA","1",0
"hlyE-2","hlyE","2",30
"hmp-4","hmp","4",210
"hns-2","hns","2",4188
"hofB-3","hofB","3",383
"hofC-2","hofC","2",4
"hofQ-1","hofQ","1",22
"hokA-2","hokA","2",4
"hokB-1","hokB","1",0
"hokC-1","hokC","1",0
"hokD-1","hokD","1",0
"hokE-4","hokE","4",100
"holA-4","holA","4",379
"holB-5","holB","5",1175
"holC-3","holC","3",172
"holD-1","holD","1",0
"holE-5","holE","5",126
"hpf-2","hpf","2",495
"hpt-3","hpt","3",588
"hrpA-5","hrpA","5",912
"hrpB-3","hrpB","3",552
"hscA-1","hscA","1",2496
"hscB-5","hscB","5",2263
"hscC-4","hscC","4",101
"hsdM-4","hsdM","4",98
"hsdR-3","hsdR","3",314
"hsdS-5","hsdS","5",216
"hslJ-2","hslJ","2",1404
"hslO-4","hslO","4",1310
"hslR-2","hslR","2",2608
"hslU-3","hslU","3",1746
"hslV-1","hslV","1",4988
"hspQ-4","hspQ","4",974
"hsrA-3","hsrA","3",120
"htgA-5","htgA","5",139
"htpG-2","htpG","2",2316
"htpX-5","htpX","5",308
"htrC-4","htrC","4",25
"htrE-1","htrE","1",25
"htrG-4","htrG","4",945
"htrL-1","htrL","1",422
"hupA-1","hupA","1",476
"hupB-4","hupB","4",2872
"hyaA-2","hyaA","2",15
"hyaB-5","hyaB","5",57
"hyaC-4","hyaC","4",240
"hyaD-5","hyaD","5",3
"hyaE-1","hyaE","1",0
"hyaF-4","hyaF","4",77
"hybA-1","hybA","1",0
"hybB-1","hybB","1",189
"hybC-2","hybC","2",446
"hybD-4","hybD","4",72
"hybE-3","hybE","3",39
"hybF-3","hybF","3",223
"hybG-1","hybG","1",11
"hybO-4","hybO","4",1279
"hycA-4","hycA","4",3
"hycB-2","hycB","2",1
"hycC-1","hycC","1",31
"hycD-1","hycD","1",0
"hycE-3","hycE","3",30
"hycF-1","hycF","1",0
"hycG-3","hycG","3",36
"hycH-4","hycH","4",97
"hycI-4","hycI","4",56
"hydN-1","hydN","1",0
"hyfA-1","hyfA","1",203
"hyfB-4","hyfB","4",114
"hyfC-1","hyfC","1",0
"hyfD-5","hyfD","5",6
"hyfE-1","hyfE","1",0
"hyfF-2","hyfF","2",106
"hyfG-5","hyfG","5",12
"hyfH-5","hyfH","5",3
"hyfI-5","hyfI","5",2
"hyfJ-1","hyfJ","1",83
"hyfR-5","hyfR","5",45
"hyi-1","hyi","1",66
"hypA-2","hypA","2",6
"hypB-1","hypB","1",166
"hypC-4","hypC","4",5
"hypD-2","hypD","2",22
"hypE-1","hypE","1",0
"hypF-5","hypF","5",3
"hyuA-1","hyuA","1",46
"iaaA-2","iaaA","2",134
"iadA-1","iadA","1",0
"iap-1","iap","1",521
"ibpA-2","ibpA","2",6428
"ibpB-2","ibpB","2",347
"icd-4","icd","4",2452
"icdC-3","icdC","3",2821
"iclR-4","iclR","4",263
"idi-5","idi","5",196
"idnD-1","idnD","1",32
"idnK-3","idnK","3",52
"idnO-3","idnO","3",63
"idnR-1","idnR","1",67
"idnT-3","idnT","3",123
"ihfA-5","ihfA","5",5543
"ihfB-4","ihfB","4",965
"ileS-1","ileS","1",1140
"ilvA-3","ilvA","3",33
"ilvB-2","ilvB","2",162
"ilvC-5","ilvC","5",211
"ilvD-1","ilvD","1",0
"ilvE-2","ilvE","2",10
"ilvG-2","ilvG","2",207
"ilvH-1","ilvH","1",129
"ilvI-4","ilvI","4",232
"ilvL-1","ilvL","1",0
"ilvM-2","ilvM","2",176
"ilvN-4","ilvN","4",150
"ilvY-1","ilvY","1",0
"imp-4","imp","4",2581
"inaA-3","inaA","3",311
"infA-1","infA","1",2002
"infB-3","infB","3",9212
"infC-3","infC","3",949
"insA-7-1","insA","7",0
"insC-2-3","insC","2",130
"insD-2-5","insD","2",26
"insE-4-3","insE","4",2034
"insF-4-4","insF","4",642
"insG-5","insG","5",101
"insH-1-1","insH","1",3734
"insI-1-1","insI","1",548
"insJ-2","insJ","2",1182
"insK-5","insK","5",540
"insL-3-4","insL","3",6495
"insM-1","insM","1",81
"insN-2-4","insN","2",424
"insO-2-5","insO","2",151
"intA-3","intA","3",328
"intB-2","intB","2",249
"intD-2","intD","2",382
"intE-1","intE","1",53
"intF-5","intF","5",799
"intG-5","intG","5",83
"intQ-5","intQ","5",82
"intR-1","intR","1",23
"intS-2","intS","2",86
"intZ-5","intZ","5",27
"iraP-1","iraP","1",57
"iscA-1","iscA","1",3641
"iscR-2","iscR","2",9698
"iscS-5","iscS","5",551
"iscU-4","iscU","4",3751
"ispA-3","ispA","3",1
"ispB-5","ispB","5",847
"ispD-1","ispD","1",0
"ispE-5","ispE","5",1225
"ispF-2","ispF","2",443
"ispG-1","ispG","1",0
"ispH-4","ispH","4",376
"ispU-3","ispU","3",2376
"ivbL-1","ivbL","1",0
"ivy-4","ivy","4",188
"kanR-1","kanR","1",0
"katE-2","katE","2",845
"katG-5","katG","5",8168
"kbaY-2","kbaY","2",10
"kbaZ-5","kbaZ","5",4
"kbl-2","kbl","2",927
"kch-2","kch","2",129
"kdgK-4","kdgK","4",18
"kdgR-1","kdgR","1",202
"kdgT-5","kdgT","5",78
"kdpA-2","kdpA","2",20
"kdpB-3","kdpB","3",1
"kdpC-1","kdpC","1",0
"kdpD-2","kdpD","2",259
"kdpE-2","kdpE","2",1
"kdpF-2","kdpF","2",5
"kdsA-1","kdsA","1",4767
"kdsB-2","kdsB","2",385
"kdsC-4","kdsC","4",917
"kdsD-1","kdsD","1",1347
"kdtA-5","kdtA","5",452
"kduD-1","kduD","1",0
"kduI-4","kduI","4",109
"kefA-3","kefA","3",925
"kefB-4","kefB","4",495
"kefC-2","kefC","2",180
"kefF-2","kefF","2",22
"kefG-5","kefG","5",470
"kgtP-4","kgtP","4",7930
"kil-1","kil","1",3
"kptA-5","kptA","5",42
"ksgA-5","ksgA","5",186
"lafU-2","lafU","2",37
"lamB-1","lamB","1",63
"lar-1","lar","1",0
"ldcA-1","ldcA","1",4
"ldcC-3","ldcC","3",359
"ldhA-5","ldhA","5",1669
"ldrB-1","ldrB","1",0
"ldrC-3","ldrC","3",30
"ldrD-1","ldrD","1",0
"lepA-2","lepA","2",5078
"lepB-2","lepB","2",857
"leuA-4","leuA","4",92
"leuB-4","leuB","4",145
"leuC-2","leuC","2",232
"leuD-1","leuD","1",0
"leuL-3","leuL","3",12
"leuO-3","leuO","3",33
"leuS-3","leuS","3",3105
"lfhA-5","lfhA","5",46
"lgt-4","lgt","4",177
"lhr-5","lhr","5",81
"ligA-2","ligA","2",324
"ligB-1","ligB","1",135
"ligT-1","ligT","1",0
"lipA-1","lipA","1",0
"lipB-4","lipB","4",1767
"lit-1","lit","1",46
"livF-4","livF","4",25
"livG-1","livG","1",60
"livH-5","livH","5",188
"livJ-3","livJ","3",219
"livK-3","livK","3",146
"livM-5","livM","5",8
"lldD-2","lldD","2",221
"lldP-5","lldP","5",151
"lldR-2","lldR","2",4
"lnt-3","lnt","3",48
"lolA-2","lolA","2",740
"lolB-5","lolB","5",1059
"lolC-3","lolC","3",596
"lolD-3","lolD","3",1328
"lolE-1","lolE","1",516
"lomR-5","lomR","5",7
"lon-5","lon","5",2594
"lpcA-2","lpcA","2",212
"lpd-1","lpd","1",4477
"lplA-1","lplA","1",149
"lpp-2","lpp","2",68
"lpxA-1","lpxA","1",1835
"lpxB-5","lpxB","5",202
"lpxC-2","lpxC","2",5361
"lpxD-4","lpxD","4",755
"lpxH-5","lpxH","5",103
"lpxK-4","lpxK","4",25
"lpxL-1","lpxL","1",644
"lpxM-4","lpxM","4",777
"lpxP-2","lpxP","2",3348
"lrhA-1","lrhA","1",2708
"lrp-2","lrp","2",974
"lspA-3","lspA","3",177
"lsrA-5","lsrA","5",22
"lsrB-2","lsrB","2",68
"lsrC-1","lsrC","1",0
"lsrD-1","lsrD","1",65
"lsrF-3","lsrF","3",88
"lsrG-2","lsrG","2",18
"lsrK-4","lsrK","4",204
"lsrR-5","lsrR","5",25
"ltaE-5","ltaE","5",298
"luxS-1","luxS","1",891
"lysA-2","lysA","2",79
"lysC-1","lysC","1",26
"lysP-1","lysP","1",461
"lysR-3","lysR","3",3
"lysS-1","lysS","1",1028
"lysU-5","lysU","5",1395
"lyxK-3","lyxK","3",28
"mCherry-1","mCherry","1",0
"maa-2","maa","2",2056
"macA-3","macA","3",341
"macB-1","macB","1",338
"maeB-4","maeB","4",364
"mak-4","mak","4",123
"malF-2","malF","2",81
"malG-1","malG","1",36
"malI-3","malI","3",1
"malK-2","malK","2",8
"malM-4","malM","4",86
"malP-1","malP","1",171
"malQ-5","malQ","5",1
"malS-5","malS","5",63
"malT-2","malT","2",217
"malX-2","malX","2",107
"malY-2","malY","2",322
"malZ-5","malZ","5",247
"manA-3","manA","3",80
"manX-4","manX","4",110
"manY-5","manY","5",186
"manZ-3","manZ","3",438
"maoC-5","maoC","5",48
"map-3","map","3",903
"marA-3","marA","3",153
"marB-3","marB","3",99
"marC-4","marC","4",1
"marR-3","marR","3",5372
"mazG-1","mazG","1",808
"mcrA-3","mcrA","3",65
"mcrB-5","mcrB","5",67
"mcrC-4","mcrC","4",46
"mdaB-1","mdaB","1",170
"mdh-1","mdh","1",136
"mdlA-2","mdlA","2",598
"mdlB-2","mdlB","2",588
"mdoB-3","mdoB","3",299
"mdoC-2","mdoC","2",78
"mdoD-5","mdoD","5",314
"mdoG-4","mdoG","4",2470
"mdoH-1","mdoH","1",945
"mdtA-1","mdtA","1",194
"mdtB-5","mdtB","5",173
"mdtC-5","mdtC","5",71
"mdtD-3","mdtD","3",1
"mdtE-1","mdtE","1",0
"mdtF-3","mdtF","3",109
"mdtG-5","mdtG","5",1016
"mdtH-1","mdtH","1",0
"mdtI-4","mdtI","4",1331
"mdtJ-2","mdtJ","2",1081
"mdtK-4","mdtK","4",635
"mdtL-5","mdtL","5",22
"mdtQ-12","mdtQ","12",62
"melA-5","melA","5",80
"melB-3","melB","3",177
"melR-2","melR","2",75
"menA-5","menA","5",340
"menB-1","menB","1",0
"menC-1","menC","1",0
"menD-3","menD","3",15
"menE-5","menE","5",86
"menF-5","menF","5",184
"mepA-1","mepA","1",62
"metA-4","metA","4",35
"metB-5","metB","5",9
"metC-3","metC","3",129
"metE-3","metE","3",226
"metF-5","metF","5",88
"metG-4","metG","4",1608
"metH-1","metH","1",93
"metI-1","metI","1",137
"metJ-4","metJ","4",19
"metK-1","metK","1",380
"metL-1","metL","1",0
"metN-1","metN","1",0
"metQ-1","metQ","1",255
"metR-4","metR","4",2
"mfd-4","mfd","4",1074
"mglA-2","mglA","2",99
"mglB-1","mglB","1",828
"mglC-5","mglC","5",52
"mgsA-3","mgsA","3",81
"mgtA-5","mgtA","5",425
"mhpA-5","mhpA","5",25
"mhpB-4","mhpB","4",1
"mhpC-5","mhpC","5",12
"mhpD-1","mhpD","1",41
"mhpE-5","mhpE","5",13
"mhpF-3","mhpF","3",53
"mhpR-3","mhpR","3",64
"mhpT-1","mhpT","1",0
"miaA-1","miaA","1",1009
"miaB-3","miaB","3",2148
"minC-2","minC","2",553
"minD-4","minD","4",928
"minE-3","minE","3",79
"mioC-3","mioC","3",2685
"mipA-1","mipA","1",1070
"mlrA-1","mlrA","1",0
"mltA-5","mltA","5",766
"mltB-3","mltB","3",2
"mltC-3","mltC","3",774
"mltD-1","mltD","1",1054
"mmuM-1","mmuM","1",0
"mmuP-5","mmuP","5",91
"mngA-1","mngA","1",39
"mngB-2","mngB","2",189
"mngR-2","mngR","2",286
"mnmA-5","mnmA","5",455
"mnmC-1","mnmC","1",439
"mnmE-3","mnmE","3",336
"mntH-3","mntH","3",4745
"mntR-4","mntR","4",25
"moaA-4","moaA","4",2335
"moaB-1","moaB","1",137
"moaC-1","moaC","1",15
"moaD-1","moaD","1",0
"moaE-4","moaE","4",12
"mobA-5","mobA","5",93
"mobB-1","mobB","1",137
"modA-5","modA","5",568
"modB-3","modB","3",450
"modC-5","modC","5",76
"modE-5","modE","5",14
"modF-1","modF","1",147
"moeA-3","moeA","3",586
"moeB-3","moeB","3",177
"mog-4","mog","4",8
"mokB-1","mokB","1",14
"mokC-3","mokC","3",12
"molR-16","molR","16",188
"motA-1","motA","1",14
"motB-3","motB","3",73
"mpaA-2","mpaA","2",5
"mpl-3","mpl","3",120
"mppA-1","mppA","1",287
"mprA-2","mprA","2",13
"mqo-5","mqo","5",45
"mqsR-4","mqsR","4",1514
"mraW-5","mraW","5",1
"mraY-1","mraY","1",93
"mraZ-2","mraZ","2",1140
"mrcA-3","mrcA","3",129
"mrcB-3","mrcB","3",652
"mrdA-4","mrdA","4",559
"mrdB-1","mrdB","1",922
"mreB-3","mreB","3",1
"mreC-2","mreC","2",2498
"mreD-4","mreD","4",288
"mrp-3","mrp","3",1141
"mrr-5","mrr","5",392
"ms2-rev-6","ms2","rev",4
"msbA-4","msbA","4",3150
"mscL-2","mscL","2",346
"mscS-4","mscS","4",769
"msrA-1","msrA","1",249
"msrB-2","msrB","2",1856
"msyB-3","msyB","3",41
"mtgA-3","mtgA","3",166
"mtlA-5","mtlA","5",12
"mtlD-3","mtlD","3",225
"mtlR-5","mtlR","5",188
"mtn-1","mtn","1",0
"mtr-4","mtr","4",139
"mug-2","mug","2",202
"mukB-2","mukB","2",160
"mukE-3","mukE","3",550
"mukF-1","mukF","1",573
"murA-1","murA","1",527
"murB-2","murB","2",723
"murC-3","murC","3",72
"murD-5","murD","5",41
"murE-5","murE","5",294
"murF-5","murF","5",108
"murG-5","murG","5",214
"murI-2","murI","2",1598
"murP-2","murP","2",1
"mutH-2","mutH","2",1157
"mutL-5","mutL","5",402
"mutM-1","mutM","1",169
"mutS-5","mutS","5",487
"mutT-4","mutT","4",2
"mutY-3","mutY","3",276
"mviM-1","mviM","1",6
"nac-1","nac","1",318
"nadA-1","nadA","1",160
"nadB-2","nadB","2",4
"nadC-1","nadC","1",655
"nadD-1","nadD","1",80
"nadE-3","nadE","3",215
"nadK-4","nadK","4",385
"nadR-2","nadR","2",430
"nagA-1","nagA","1",2633
"nagB-3","nagB","3",2266
"nagC-2","nagC","2",2018
"nagD-4","nagD","4",675
"nagE-4","nagE","4",964
"nagK-2","nagK","2",820
"nagZ-1","nagZ","1",694
"nanA-1","nanA","1",22
"nanE-4","nanE","4",2
"nanK-1","nanK","1",0
"nanR-5","nanR","5",97
"nanT-2","nanT","2",71
"napA-1","napA","1",46
"napB-1","napB","1",8
"napC-2","napC","2",8
"napD-2","napD","2",49
"napF-5","napF","5",20
"napG-1","napG","1",1
"napH-1","napH","1",0
"narG-5","narG","5",5
"narH-1","narH","1",0
"narI-1","narI","1",0
"narJ-3","narJ","3",44
"narK-3","narK","3",10
"narL-2","narL","2",50
"narP-1","narP","1",24
"narQ-1","narQ","1",417
"narU-1","narU","1",144
"narV-5","narV","5",25
"narW-1","narW","1",13
"narX-5","narX","5",504
"narY-1","narY","1",1
"narZ-4","narZ","4",238
"ndh-5","ndh","5",1260
"ndk-5","ndk","5",421
"nei-5","nei","5",149
"nemA-4","nemA","4",76
"nepI-1","nepI","1",227
"nfi-1","nfi","1",0
"nfnB-4","nfnB","4",663
"nfo-1","nfo","1",327
"nfrA-4","nfrA","4",376
"nfrB-5","nfrB","5",185
"nfsA-4","nfsA","4",199
"nhaA-1","nhaA","1",812
"nhaB-4","nhaB","4",1527
"nhaR-1","nhaR","1",924
"nhoA-4","nhoA","4",30
"nikA-1","nikA","1",252
"nikB-4","nikB","4",8
"nikC-1","nikC","1",12
"nikD-1","nikD","1",0
"nikE-5","nikE","5",2
"nikR-3","nikR","3",24
"ninE-5","ninE","5",24
"nirB-4","nirB","4",205
"nirC-1","nirC","1",0
"nirD-1","nirD","1",0
"nlpA-5","nlpA","5",61
"nlpB-4","nlpB","4",2430
"nlpC-4","nlpC","4",18
"nlpD-4","nlpD","4",5525
"nlpE-5","nlpE","5",889
"nlpI-3","nlpI","3",18713
"nmpC-2","nmpC","2",60
"norR-4","norR","4",134
"norV-1","norV","1",154
"norW-1","norW","1",0
"npr-4","npr","4",9
"nrdA-3","nrdA","3",112
"nrdB-5","nrdB","5",188
"nrdD-1","nrdD","1",199
"nrdE-4","nrdE","4",260
"nrdF-1","nrdF","1",58
"nrdG-2","nrdG","2",231
"nrdH-1","nrdH","1",0
"nrdI-1","nrdI","1",0
"nrdR-2","nrdR","2",2978
"nrfA-5","nrfA","5",81
"nrfB-2","nrfB","2",7
"nrfC-1","nrfC","1",0
"nrfD-4","nrfD","4",15
"nrfE-1","nrfE","1",14
"nrfF-1","nrfF","1",0
"nrfG-1","nrfG","1",22
"nsrR-3","nsrR","3",1988
"nth-1","nth","1",53
"nudB-2","nudB","2",4963
"nudC-3","nudC","3",432
"nudD-3","nudD","3",15
"nudE-4","nudE","4",623
"nudF-1","nudF","1",45
"nudG-3","nudG","3",44
"nudH-4","nudH","4",1054
"nudI-2","nudI","2",51
"nudJ-1","nudJ","1",368
"nudK-3","nudK","3",220
"nuoA-3","nuoA","3",1264
"nuoB-1","nuoB","1",674
"nuoC-2","nuoC","2",2027
"nuoE-1","nuoE","1",0
"nuoF-1","nuoF","1",685
"nuoG-3","nuoG","3",14
"nuoH-4","nuoH","4",20
"nuoI-1","nuoI","1",0
"nuoJ-3","nuoJ","3",5
"nuoK-1","nuoK","1",32
"nuoL-1","nuoL","1",0
"nuoM-2","nuoM","2",118
"nuoN-4","nuoN","4",110
"nupC-2","nupC","2",229
"nupG-3","nupG","3",84
"nusA-2","nusA","2",6761
"nusB-1","nusB","1",0
"nusG-4","nusG","4",9686
"obgE-4","obgE","4",7065
"ogrK-1","ogrK","1",0
"ogt-3","ogt","3",178
"ompA-4","ompA","4",1619
"ompC-3","ompC","3",3545
"ompF-3","ompF","3",308
"ompG-3","ompG","3",51
"ompL-5","ompL","5",18
"ompN-1","ompN","1",42
"ompR-5","ompR","5",472
"ompT-5","ompT","5",143
"ompW-5","ompW","5",199
"ompX-5","ompX","5",1974
"oppA-3","oppA","3",3344
"oppB-4","oppB","4",1313
"oppC-5","oppC","5",427
"oppD-3","oppD","3",1133
"oppF-3","oppF","3",6
"orn-4","orn","4",56
"osmB-3","osmB","3",1
"osmC-3","osmC","3",598
"osmE-2","osmE","2",104
"osmY-4","osmY","4",1774
"otsA-4","otsA","4",602
"otsB-1","otsB","1",704
"oxc-3","oxc","3",46
"oxyR-1","oxyR","1",833
"paaA-2","paaA","2",23
"paaB-2","paaB","2",19
"paaC-5","paaC","5",13
"paaD-1","paaD","1",0
"paaE-4","paaE","4",25
"paaF-1","paaF","1",0
"paaG-1","paaG","1",48
"paaH-1","paaH","1",52
"paaI-5","paaI","5",10
"paaJ-4","paaJ","4",157
"paaK-4","paaK","4",189
"paaX-4","paaX","4",349
"paaY-5","paaY","5",164
"pabA-3","pabA","3",256
"pabB-1","pabB","1",255
"pabC-4","pabC","4",505
"pal-5","pal","5",21
"panB-1","panB","1",56
"panC-4","panC","4",1159
"panD-5","panD","5",138
"panE-3","panE","3",512
"panF-4","panF","4",33
"parC-1","parC","1",1472
"parE-4","parE","4",1256
"pbl-1","pbl","1",6
"pbpC-1","pbpC","1",37
"pbpG-4","pbpG","4",546
"pck-2","pck","2",962
"pcm-4","pcm","4",79
"pcnB-3","pcnB","3",4189
"pdhR-1","pdhR","1",2
"pdxA-5","pdxA","5",786
"pdxB-5","pdxB","5",779
"pdxH-2","pdxH","2",2666
"pdxJ-1","pdxJ","1",203
"pdxK-1","pdxK","1",51
"pdxY-1","pdxY","1",0
"pepA-1","pepA","1",49
"pepB-1","pepB","1",0
"pepD-1","pepD","1",1521
"pepE-5","pepE","5",9
"pepN-1","pepN","1",1435
"pepP-5","pepP","5",2541
"pepQ-5","pepQ","5",1210
"pepT-2","pepT","2",156
"perR-5","perR","5",220
"pfkA-2","pfkA","2",784
"pfkB-2","pfkB","2",369
"pflA-1","pflA","1",43
"pflB-3","pflB","3",2376
"pflC-3","pflC","3",53
"pflD-2","pflD","2",47
"pgaA-1","pgaA","1",59
"pgaB-1","pgaB","1",31
"pgaC-1","pgaC","1",28
"pgaD-2","pgaD","2",41
"pgi-2","pgi","2",845
"pgk-1","pgk","1",6194
"pgl-1","pgl","1",116
"pgm-3","pgm","3",1896
"pgpA-2","pgpA","2",475
"pgpB-3","pgpB","3",822
"pgsA-1","pgsA","1",543
"pheA-2","pheA","2",270
"pheL-1","pheL","1",0
"pheP-3","pheP","3",12
"pheT-2","pheT","2",1613
"phnA-5","phnA","5",1270
"phnB-4","phnB","4",12
"phnC-2","phnC","2",3
"phnD-1","phnD","1",5
"phnE-1","phnE","1",0
"phnF-4","phnF","4",13
"phnG-1","phnG","1",0
"phnH-1","phnH","1",0
"phnI-1","phnI","1",0
"phnJ-4","phnJ","4",2
"phnK-1","phnK","1",0
"phnL-1","phnL","1",0
"phnM-3","phnM","3",16
"phnN-1","phnN","1",0
"phnO-1","phnO","1",0
"phnP-3","phnP","3",41
"phoA-5","phoA","5",2
"phoB-1","phoB","1",0
"phoE-3","phoE","3",43
"phoH-1","phoH","1",1960
"phoP-2","phoP","2",1411
"phoQ-3","phoQ","3",1346
"phoR-3","phoR","3",1546
"phoU-5","phoU","5",110
"php-5","php","5",15
"phr-3","phr","3",771
"pin-1","pin","1",0
"pinH-5","pinH","5",23
"pinQ-2","pinQ","2",2391
"pinR-2","pinR","2",803
"pioO-2","pioO","2",39
"pitA-3","pitA","3",741
"pitB-2","pitB","2",7
"pldA-4","pldA","4",357
"pldB-5","pldB","5",619
"plsB-5","plsB","5",1096
"plsC-5","plsC","5",507
"plsX-2","plsX","2",2856
"pmbA-4","pmbA","4",8
"pmrD-3","pmrD","3",170
"pncA-3","pncA","3",243
"pncB-4","pncB","4",1124
"pnp-1","pnp","1",4318
"pntA-1","pntA","1",207
"pntB-2","pntB","2",523
"pnuC-2","pnuC","2",163
"polA-5","polA","5",301
"polB-2","polB","2",364
"potA-3","potA","3",1993
"potB-4","potB","4",333
"potC-3","potC","3",50
"potD-5","potD","5",881
"potE-2","potE","2",138
"potF-1","potF","1",475
"potG-3","potG","3",226
"potH-4","potH","4",114
"potI-1","potI","1",0
"poxA-4","poxA","4",294
"poxB-4","poxB","4",333
"ppa-3","ppa","3",107
"ppc-3","ppc","3",10
"ppdA-1","ppdA","1",0
"ppdB-3","ppdB","3",91
"ppdC-1","ppdC","1",0
"ppdD-2","ppdD","2",44
"pphA-5","pphA","5",697
"pphB-5","pphB","5",45
"ppiA-4","ppiA","4",307
"ppiB-2","ppiB","2",14
"ppiC-1","ppiC","1",0
"ppiD-4","ppiD","4",2115
"ppk-3","ppk","3",539
"pppA-2","pppA","2",101
"pps-2","pps","2",104
"ppx-3","ppx","3",680
"pqiA-1","pqiA","1",307
"pqiB-5","pqiB","5",333
"pqqL-5","pqqL","5",31
"prc-1","prc","1",1275
"prfA-1","prfA","1",11558
"prfB-1","prfB","1",4058
"prfC-2","prfC","2",766
"prfH-4","prfH","4",244
"priA-3","priA","3",7
"priB-1","priB","1",2
"priC-1","priC","1",0
"prkB-1","prkB","1",388
"prlC-1","prlC","1",1626
"prmA-5","prmA","5",5
"prmB-5","prmB","5",930
"prmC-3","prmC","3",1266
"proA-3","proA","3",972
"proB-3","proB","3",182
"proC-3","proC","3",308
"proP-1","proP","1",7184
"proQ-3","proQ","3",754
"proS-4","proS","4",812
"proV-2","proV","2",485
"proW-3","proW","3",124
"proX-4","proX","4",288
"proY-5","proY","5",582
"prpB-4","prpB","4",36
"prpC-1","prpC","1",15
"prpD-1","prpD","1",1
"prpE-3","prpE","3",3
"prpR-3","prpR","3",44
"prsA-1","prsA","1",2289
"psd-1","psd","1",2026
"psiE-1","psiE","1",198
"psiF-3","psiF","3",204
"pspA-1","pspA","1",4570
"pspB-1","pspB","1",48
"pspC-2","pspC","2",91
"pspD-1","pspD","1",0
"pspE-5","pspE","5",513
"pspF-3","pspF","3",176
"pssA-5","pssA","5",307
"pstA-2","pstA","2",348
"pstB-5","pstB","5",127
"pstC-5","pstC","5",582
"pstS-5","pstS","5",537
"pta-5","pta","5",3248
