"Feature","Gene","Probe","Summed_Counts"
"dsrB-3","dsrB","3",60
"dtd-1","dtd","1",80
"dusA-4","dusA","4",1069
"dusB-5","dusB","5",257
"dusC-3","dusC","3",107
"dut-2","dut","2",54
"dxr-3","dxr","3",180
"dxs-3","dxs","3",211
"eaeH-4","eaeH","4",18
"eamA-2","eamA","2",183
"ebgA-3","ebgA","3",137
"ebgC-5","ebgC","5",34
"ebgR-5","ebgR","5",389
"ecfK-5","ecfK","5",1902
"ecnA-1","ecnA","1",0
"ecnB-1","ecnB","1",0
"eco-1","eco","1",212
"ecpD-1","ecpD","1",34
"eda-1","eda","1",39
"edd-1","edd","1",229
"efeU-3","efeU","3",7
"efp-5","efp","5",1072
"elaA-5","elaA","5",198
"elaB-3","elaB","3",176
"elaC-4","elaC","4",288
"elaD-1","elaD","1",61
"elbA-4","elbA","4",3
"elbB-4","elbB","4",558
"emrA-1","emrA","1",1234
"emrB-2","emrB","2",67
"emrD-5","emrD","5",446
"emrE-3","emrE","3",148
"emrK-1","emrK","1",49
"emrY-3","emrY","3",23
"emtA-4","emtA","4",192
"endA-5","endA","5",18
"eno-2","eno","2",6736
"entA-3","entA","3",54
"entB-3","entB","3",8
"entC-5","entC","5",269
"entD-5","entD","5",189
"entE-4","entE","4",25
"entF-3","entF","3",198
"envC-3","envC","3",988
"envR-2","envR","2",46
"envY-5","envY","5",51
"envZ-4","envZ","4",11
"epd-5","epd","5",1102
"eptA-3","eptA","3",23
"eptB-2","eptB","2",573
"era-3","era","3",1936
"erfK-3","erfK","3",420
"essD-4","essD","4",29
"essQ-5","essQ","5",180
"etk-3","etk","3",95
"etp-5","etp","5",62
"eutA-4","eutA","4",13
"eutB-5","eutB","5",1
"eutC-5","eutC","5",35
"eutE-2","eutE","2",27
"eutG-5","eutG","5",13
"eutH-5","eutH","5",33
"eutI-1","eutI","1",4
"eutJ-1","eutJ","1",0
"eutL-1","eutL","1",0
"eutP-3","eutP","3",14
"eutQ-5","eutQ","5",1
"eutT-1","eutT","1",0
"evgA-4","evgA","4",949
"evgS-4","evgS","4",478
"exbB-5","exbB","5",3079
"exbD-2","exbD","2",3819
"exoX-3","exoX","3",434
"exuR-5","exuR","5",2038
"exuT-1","exuT","1",106
"fabA-4","fabA","4",1525
"fabB-5","fabB","5",1319
"fabD-5","fabD","5",66
"fabF-3","fabF","3",4303
"fabG-1","fabG","1",1654
"fabH-5","fabH","5",61
"fabI-1","fabI","1",0
"fabR-3","fabR","3",527
"fabZ-2","fabZ","2",2801
"fadA-1","fadA","1",0
"fadB-1","fadB","1",44
"fadD-3","fadD","3",448
"fadE-1","fadE","1",2223
"fadH-3","fadH","3",17
"fadJ-5","fadJ","5",405
"fadK-3","fadK","3",63
"fadL-4","fadL","4",267
"fadR-2","fadR","2",1004
"fbaA-4","fbaA","4",1884
"fbaB-1","fbaB","1",1027
"fbp-3","fbp","3",368
"fcl-1","fcl","1",0
"fdhD-4","fdhD","4",612
"fdhE-3","fdhE","3",319
"fdhF-1","fdhF","1",182
"fdnG-3","fdnG","3",85
"fdnH-5","fdnH","5",14
"fdnI-3","fdnI","3",40
"fdoG-5","fdoG","5",2632
"fdoH-1","fdoH","1",243
"fdoI-4","fdoI","4",596
"fdrA-5","fdrA","5",84
"fdx-2","fdx","2",1358
"feaB-1","feaB","1",130
"feaR-1","feaR","1",80
"fecA-1","fecA","1",346
"fecB-5","fecB","5",118
"fecC-1","fecC","1",0
"fecD-1","fecD","1",0
"fecE-2","fecE","2",26
"fecI-5","fecI","5",627
"fecR-1","fecR","1",0
"feoA-4","feoA","4",53
"feoB-2","feoB","2",1361
"fepA-1","fepA","1",829
"fepB-1","fepB","1",434
"fepC-3","fepC","3",199
"fepD-1","fepD","1",0
"fepE-1","fepE","1",77
"fepG-1","fepG","1",0
"fes-5","fes","5",10
"ffh-5","ffh","5",3670
"ffs-1","ffs","1",0
"fhlA-2","fhlA","2",296
"fhuA-4","fhuA","4",1949
"fhuB-5","fhuB","5",364
"fhuC-1","fhuC","1",0
"fhuD-3","fhuD","3",26
"fhuE-1","fhuE","1",249
"fhuF-3","fhuF","3",2264
"fic-4","fic","4",21
"fieF-3","fieF","3",1023
"fimA-4","fimA","4",3033
"fimB-3","fimB","3",50
"fimC-5","fimC","5",2034
"fimD-2","fimD","2",768
"fimE-3","fimE","3",50
"fimF-4","fimF","4",22
"fimG-1","fimG","1",11
"fimH-2","fimH","2",149
"fimI-4","fimI","4",5663
"fimZ-1","fimZ","1",24
"fis-1","fis","1",7353
"fiu-2","fiu","2",317
"fixA-1","fixA","1",17
"fixB-1","fixB","1",0
"fixC-5","fixC","5",29
"fixX-2","fixX","2",17
"fklB-1","fklB","1",73
"fkpA-1","fkpA","1",1407
"fkpB-2","fkpB","2",169
"fldA-4","fldA","4",1655
"fldB-4","fldB","4",180
"flgA-1","flgA","1",35
