Panel,value,Antibiotic,Group1,Group2,geomean1,geomean2,ratio,lo,hi,p,n1,n2,test,q_bh,p_holm_figure,k_bh,pooled_sd_log10,df_pooled,sig_bh,sig_holm
Figure 2b-d,MIC,Cefepime,P,PL,0.1522032837085734,0.5541861505315706,3.6410919464305502,2.1725730373254923,6.102234693422268,6.6102738938175e-05,10,10,unpaired Welch,0.000198308216814525,0.000462719172567225,3.0,,,True,True
Figure 2b-d,MIC,Levofloxacin,P,PA,0.1038117356856237,0.06902878035462906,0.6649419730700877,0.43731674664705716,1.0110470978765949,0.055660150253171316,10,10,unpaired Welch,0.08349022537975698,0.22264060101268526,3.0,,,False,False
Figure 2b-d,MIC,Levofloxacin,P,PC,0.1038117356856237,0.11402095108701452,1.0983435575367673,0.6810811996221351,1.7712404498198036,0.6833126596079648,10,10,unpaired Welch,0.6833126596079648,0.813681567832806,3.0,,,False,False
Figure 2b-d,MIC,Levofloxacin,P,PL,0.1038117356856237,9.08071560918727,87.47291960021438,49.38851500057818,154.92491854221564,8.44192947964119e-11,10,10,unpaired Welch,2.532578843892357e-10,7.597736531677071e-10,3.0,,,True,True
Figure 3b-d,IC50,Amikacin,P,PL,2.988148518197365,2.988545611188182,1.0001328893086803,0.7491577693385637,1.335187109065251,0.9992346978672255,10,10,unpaired Welch,0.9992346978672255,1.0,6.0,,,False,False
Figure 3b-d,IC50,Amikacin,P,PLA,2.988148518197365,25.181628059639174,8.427167493947147,6.489913188239937,10.9426967528204,2.511750226268815e-12,10,10,unpaired Welch,1.5070501357612892e-11,4.2699753846569854e-11,6.0,,,True,True
Figure 3b-d,IC50,Amikacin,P,PLAC,2.988148518197365,7.799428830329953,2.6101208768013477,1.6076065125511536,4.237810022741778,0.0010660118393464534,10,10,unpaired Welch,0.0015990177590196801,0.010660118393464535,6.0,,,True,True
Figure 3b-d,IC50,Amikacin,PL,PLA,2.988545611188182,25.181628059639174,8.42604776228511,6.470962152604986,10.971827561026368,2.020589248619626e-08,10,10,paired,6.061767745858879e-08,3.0308838729294393e-07,6.0,,,True,True
Figure 3b-d,IC50,Amikacin,PL,PLAC,2.988545611188182,7.799428830329953,2.6097740657299404,1.4862074429639465,4.5827523650221735,0.003881827128899778,10,10,paired,0.004658192554679734,0.031054617031198224,6.0,,,True,True
Figure 3b-d,IC50,Amikacin,PLA,PLAC,25.181628059639174,7.799428830329953,0.309726949022442,0.19438114737267,0.49351896646041843,0.00029758168178066783,10,10,paired,0.0005951633635613357,0.003570980181368014,6.0,,,True,True
Figure 3b-d,IC50,Cefepime,P,PL,0.03818599205397341,0.07940924848136299,2.079538705426932,1.6689983627742637,2.5910637924056594,4.026405702776753e-06,10,10,unpaired Welch,2.4158434216660517e-05,5.2343274136097784e-05,6.0,,,True,True
Figure 3b-d,IC50,Cefepime,P,PLA,0.03818599205397341,0.04747903728341877,1.2433626764576455,0.9084057848721716,1.7018283799518754,0.1560409894659334,10,10,unpaired Welch,0.18724918735912008,0.6241639578637336,6.0,,,False,False
Figure 3b-d,IC50,Cefepime,P,PLAC,0.03818599205397341,0.0529445114644519,1.386490401758275,1.027495921663524,1.870913152682411,0.03501160195692472,10,10,unpaired Welch,0.052517402935387085,0.1750580097846236,6.0,,,False,False
Figure 3b-d,IC50,Cefepime,PL,PLA,0.07940924848136299,0.04747903728341877,0.597903118231397,0.4306187548473791,0.8301731746856442,0.00626483691440522,10,10,paired,0.01252967382881044,0.04385385840083654,6.0,,,True,True
Figure 3b-d,IC50,Cefepime,PL,PLAC,0.07940924848136299,0.0529445114644519,0.666729788745926,0.5373375078503572,0.8272800701732954,0.0021419122014998634,10,10,paired,0.006425736604499591,0.019277209813498772,6.0,,,True,True
