FolderDate,source_file,Strain,Culture,Day
20240729,D3_S357,P,4,81
20240102atec,AL24_S5,ATEC-C,1,0
20240102atec,AL24_S5,ATEC-C,2,0
20240102atec,AL24_S5,ATEC-C,3,0
20240102atec,AL24_S5,ATEC-C,4,0
20240102atec,AL24_S5,ATEC-C,5,0
20240102atec,AL24_S5,ATEC-C,6,0
20240102atec,AL18_S23,ATEC-C,1,15
20240102atec,AL19_S24,ATEC-C,2,15
20240102atec,AL20_S25,ATEC-C,3,15
20240102atec,AL21_S26,ATEC-C,4,15
20240102atec,AL22_S27,ATEC-C,5,15
20240102atec,AL23_S28,ATEC-C,6,15
20240102atec,AL24_S5,ATEC-C-R,1,0
20240102atec,AL17_S22,ATEC-C-R,1,15
20241022,A1_S134,PLAC,1,47
20241022,A2_S135,PLAC,2,47
20241022,A3_S136,PLAC,3,47
20241022,A4_S137,PLAC,4,47
20241022,A5_S138,PLAC,5,47
20241022,A6_S139,PLAC,6,47
20241022,A7_S140,PLAC,7,47
20241022,A8_S141,PLAC,8,47
20241022,A9_S142,PLAC,9,47
20241022,A10_S143,PLAC,10,47
20241022,B1_S144,PLAC,1,55
20241022,B2_S145,PLAC,2,55
20241022,B3_S146,PLAC,3,55
20241022,B4_S147,PLAC,4,55
20241022,B5_S148,PLAC,5,55
20241022,B6_S149,PLAC,6,55
20241022,B7_S150,PLAC,7,55
20241022,B8_S151,PLAC,8,55
20241022,B9_S152,PLAC,9,55
20241022,B10_S153,PLAC,10,55
20241022,C1_S154,PLAC,1,63
20241022,C2_S155,PLAC,2,63
20241022,C3_S156,PLAC,3,63
20241022,C4_S157,PLAC,4,63
20241022,C5_S158,PLAC,5,63
20241022,C6_S159,PLAC,6,63
20241022,C7_S160,PLAC,7,63
20241022,C8_S161,PLAC,8,63
20241022,C9_S162,PLAC,9,63
20241022,C10_S163,PLAC,10,63
